frame,detected,det_x,det_y,kf_x,kf_y,confidence
566,True,783,458,783,454,0.42393729090690613
567,False,,,778,466,0.0
568,True,777,480,777,472,0.6632339358329773
569,True,773,489,775,477,0.16634488105773926
570,True,772,501,775,482,0.1772032529115677
571,False,,,770,496,0.0
572,True,761,525,766,507,0.6265097856521606
573,True,758,534,765,511,0.29004526138305664
574,True,755,549,764,517,0.6569221615791321
575,True,750,559,762,521,0.19440189003944397
576,True,747,573,761,526,0.2535630762577057
577,False,,,755,545,0.0
578,True,737,602,748,565,0.5510475039482117
579,False,,,741,587,0.0
580,True,731,629,737,601,0.3018226623535156
581,True,725,642,735,606,0.5559588074684143
582,False,,,727,631,0.0
583,True,714,674,722,646,0.34486424922943115
584,True,712,690,722,651,0.6041761636734009
585,False,,,712,680,0.0
586,True,702,716,708,692,0.40246152877807617
587,False,,,698,724,0.0
588,False,,,688,755,0.0
589,True,688,720,688,740,0.13748174905776978
590,True,684,721,686,740,0.2141772210597992
591,True,680,722,684,741,0.2816367745399475
592,False,,,674,770,0.0
593,False,,,663,799,0.0
594,False,,,652,827,0.0
595,False,,,641,856,0.0
596,False,,,630,885,0.0
597,False,,,619,914,0.0
598,False,,,609,943,0.0
599,False,,,598,972,0.0
600,False,,,587,1001,0.0
601,False,,,576,1030,0.0
602,False,,,565,1059,0.0
603,False,,,554,1088,0.0
604,False,,,544,1116,0.0
605,False,,,533,1145,0.0
606,False,,,522,1174,0.0
607,False,,,511,1203,0.0
608,False,,,500,1232,0.0
609,False,,,490,1261,0.0
610,False,,,479,1290,0.0
611,False,,,468,1319,0.0
612,False,,,457,1348,0.0
613,False,,,446,1376,0.0
614,False,,,435,1405,0.0
615,True,664,692,659,707,0.44860604405403137
616,True,678,669,672,684,0.5313945412635803
617,True,690,650,684,666,0.4809596538543701
618,True,703,633,697,649,0.43211477994918823
619,False,,,700,638,0.0
620,True,727,596,714,615,0.6321583986282349
621,True,736,580,719,607,0.5335983037948608
622,True,749,561,726,597,0.3972150683403015
623,True,759,548,731,590,0.6972805261611938
624,True,770,533,737,582,0.15578633546829224
625,True,778,518,741,574,0.2948368787765503
626,True,786,505,745,567,0.3933938145637512
627,True,797,493,751,561,0.13572463393211365
628,True,805,481,755,554,0.6769088506698608
629,False,,,763,536,0.0
630,True,824,457,788,504,0.4404369592666626
631,True,829,448,790,500,0.16619884967803955
632,False,,,801,476,0.0
633,False,,,813,453,0.0
634,False,,,825,429,0.0
635,True,857,407,842,417,0.2576211094856262
636,True,867,400,848,413,0.12298658490180969
