frame,x,y,z,qw,qx,qy,qz,confidence,valid
99,3.4070718086682583,20.377811511097054,1.0,0.45387673787061866,0.4538767378710726,0.5422135019008878,0.5422135019008065,0.5,1
100,3.3983388070404428,19.937923611822914,1.0,0.6297966412760118,0.6297966412762447,0.32149008615135977,0.32149008615103825,0.5,1
101,3.3920508950785817,19.351495682393292,1.0,0.7020731922154524,0.7020731922157986,0.08421982649525582,0.0842198264951716,0.5,1
102,3.339324251544181,18.311315931991786,1.0,0.707079537073998,0.7070795370743514,-0.00618694044583472,-0.006186940445828532,0.5,1
103,3.362266955280604,17.44331924598414,1.0,0.7064090690559043,0.7064090690562567,-0.03140026531113719,-0.03140026531110579,1.0,1
104,3.4562951940436646,16.74476285380016,1.0,0.706843705303289,0.7068437053036422,-0.019280199353648747,-0.019280199353629464,0.5,1
105,3.5994493049742253,16.320848905869376,1.0,0.7070498743179461,0.7070498743182996,-0.00895685139196272,-0.008956851391953761,0.5,1
106,3.781495286854765,16.22949749723583,1.0,0.7071042599407396,0.707104259941093,0.0018208712203850162,0.0018208712203831956,1.0,1
107,3.9854869341984682,16.48049954725603,1.0,0.706974862809762,0.7069748628101153,0.013648928966671478,0.013648928966657828,1.0,1
108,4.190212166494788,17.033007670479027,1.0,0.7066509626686579,0.7066509626690108,0.025380438076622002,0.02538043807659662,1.0,1
109,4.385860952785262,17.815505402453933,1.0,0.7061153909903186,0.7061153909906708,0.037427314948067086,0.037427314948029665,1.0,1
110,4.549482023004568,18.613668696043003,1.0,0.70453731919375,0.7045373191940995,0.06022386600494792,0.06022386600488769,0.5,1
111,4.661782254819133,19.25488379478378,1.0,0.6994745565537482,0.6994745565540903,0.1036102757869011,0.1036102757867975,0.5,1
112,4.709615325643152,19.56313632471366,1.0,0.679087812781465,0.6790878127817759,0.1970773235977482,0.19707732359755112,0.5,1
113,4.768873965740085,19.990341071971983,1.0,0.5830688811272513,0.5830688811274055,0.4000378884321869,0.4000378884317869,1.0,1
114,4.816233817957193,20.415107165880034,1.0,0.49783140141681004,0.4978314014173079,0.5021587398953701,0.5021587398953659,0.5,1
115,4.81695396960982,20.740325088842066,1.0,0.4518498558428451,0.451849855843297,0.54390374629797,0.5439037462978857,0.5,1
116,4.788116549798739,20.974067370190234,1.0,0.41063651137661517,0.4106365113770258,0.5756537833726475,0.5756537833725062,0.5,1
117,4.753439082818794,21.256653882616096,1.0,0.39962214997848483,0.3996221499788845,0.5833538976692432,0.5833538976690883,1.0,1
118,4.724227567492885,21.543666733484347,1.0,0.3986681734516254,0.39866817345202415,0.5840062679254833,0.5840062679253274,1.0,1
119,4.714021811707931,21.835786772264687,1.0,0.39712328481651027,0.39712328481690745,0.5850578872833115,0.5850578872831538,1.0,1
120,4.718032159949414,22.09636673356078,1.0,0.4084587634137551,0.4084587634141636,0.5772010597677001,0.577201059767556,1.0,1
121,4.708222078772684,22.30175913827136,1.0,0.4271928786185809,0.4271928786190081,0.5634765751691632,0.5634765751690435,1.0,1
122,4.68673885913105,22.458017452566285,1.0,0.4444959054908958,0.4444959054913402,0.5499299743365123,0.5499299743364169,1.0,1
123,4.656257408860232,22.532216729443213,1.0,0.4576943088174081,0.4576943088178658,0.5389948881082214,0.5389948881081463,1.0,1
124,4.6189610949855595,22.589565846027,1.0,0.49217778150214947,0.4921777815026417,0.5077012373922983,0.5077012373922829,1.0,1
125,4.567150172042625,22.516746912531715,1.0,0.4853105585704129,0.4853105585708983,0.5142695685169776,0.5142695685169495,1.0,1
126,4.511437695645574,22.39525792015709,1.0,0.47811147121481545,0.4781114712152935,0.5209692510441343,0.5209692510440933,1.0,1
127,4.475284156440062,22.339449963348347,1.0,0.4803741957841883,0.48037419578466867,0.518883578228737,0.5188835782286999,1.0,1
128,4.455331514746517,22.269434087667186,1.0,0.47579507291840895,0.47579507291888484,0.5230856447528837,0.5230856447528384,1.0,1
129,4.45292152459361,22.194246397780386,1.0,0.4697981347825674,0.46979813478303717,0.5284782540374398,0.5284782540373844,1.0,1
130,4.465067006492888,22.09157473820027,1.0,0.4664629373975389,0.46646293739800543,0.531424392946742,0.5314243929466811,1.0,1
131,4.465699903327059,21.93756081591304,1.0,0.4612203778734895,0.46122037787395076,0.5359807159888167,0.5359807159887471,1.0,1
132,4.462782829374061,21.753952277702396,1.0,0.4524918121439267,0.4524918121443792,0.5433697972596917,0.5433697972596083,0.5,1
133,4.450913091443979,21.52296439468383,1.0,0.4395617894049139,0.43956178940535345,0.5538817796642431,0.5538817796641406,0.5,1
134,4.434662785044897,21.327917306908503,1.0,0.4256634511030256,0.42566345110345133,0.5646328314158016,0.5646328314156798,0.5,1
135,4.414712159817896,21.153320049633493,1.0,0.4180737054076915,0.41807370540810956,0.5702753654899707,0.5702753654898388,1.0,1
136,4.202893348309758,22.232701523173013,1.0,0.41145078617581726,0.41145078617622877,0.575072058596625,0.5750720585964848,0.5,1
137,4.23461425371492,21.894268489157945,1.0,0.4122320967757261,0.41223209677613837,0.574512245016739,0.5745122450165996,1.0,1
138,4.466792950462506,20.372662245888208,1.0,0.44115808334498496,0.44115808334542617,0.5526111980157943,0.552611198015694,0.5,1
139,4.905680111605236,17.640255031522024,1.0,0.5298878829512207,0.5298878829512786,0.46820763162894247,0.4682076316284743,0.5,1
140,5.58662330830927,13.495556907313832,1.0,0.6596972117571305,0.6596972117574111,0.2545570693894548,0.25455706938920025,1.0,1
141,6.562912056517175,7.6278180959946615,1.0,0.7005130739919974,0.700513073992341,0.09633887293267179,0.09633887293257545,1.0,1
142,7.861134527230261,-0.09423034109942859,1.0,0.7057614810580051,0.7057614810583566,0.04359450539859333,0.04359450539854973,0.5,1
143,9.381359246808916,-9.066179149366764,1.0,0.7065140003893161,0.7065140003896688,0.028943338341064162,0.028943338341035213,0.5,1
144,10.700994243253858,-16.61973782652424,1.0,0.7066146270869964,0.7066146270873493,0.026372683565809955,0.026372683565783577,0.5,1
145,11.031907672331268,-18.03076642737743,1.0,0.7065963023574638,0.7065963023578167,0.02685917224212076,0.0268591722420939,0.5,1
146,9.916447055569321,-10.748212208842455,1.0,0.7065144163253525,0.7065144163257053,0.0289331834608833,0.028933183460854366,0.5,1
147,9.941038396612834,-10.33959841617534,1.0,0.7065271467572929,0.7065271467576457,0.028620630404614895,0.028620630404586272,0.5,1
148,9.96468429538235,-9.944581326140156,1.0,0.7065393841119211,0.7065393841122738,0.028316925983947513,0.028316925983919196,0.5,1
149,9.984671202495711,-9.59419173441868,1.0,0.7065421200688751,0.7065421200692278,0.028248578175752957,0.02824857817572471,0.5,1
150,9.999937301206376,-9.306650253958246,1.0,0.7065314589852995,0.7065314589856522,0.028513980025938263,0.028513980025909748,0.5,1
151,10.000399880318186,-8.989384303559854,1.0,0.706562548100577,0.7065625481009298,0.027732926936603525,0.02773292693657579,1.0,1
152,9.998324471218428,-8.774561822053762,1.0,0.7065745246159828,0.7065745246163357,0.02742609682468372,0.02742609682465629,0.5,1
153,10.00361367675634,-8.754489882435726,1.0,0.7065224267528812,0.706522426753234,0.02873691148388448,0.02873691148385574,1.0,1
154,10.031734425539787,-9.103008202465535,1.0,0.7062194862244363,0.7062194862247886,0.03540884986025135,0.03540884986021593,1.0,1
