frame,detected,center_x,center_y,angle_deg,handle_x,handle_y,head_x,head_y,quality
242,1,447.0948795180723,787.3569277108434,-5.310488763875047,429.1721396253036,789.0228793116287,465.01761941084095,785.690976110058,1.787499370279047
243,1,443.8988941548183,789.3601895734597,-7.754356281792618,426.8561771191309,791.6809213635402,460.94161119050574,787.0394577833792,1.6441049738960205
244,1,441.9877650897227,791.0187601957585,-4.683937462406235,424.4465434817218,792.4559604250245,459.5289866977236,789.5815599664926,2.006670622512745
245,1,441.1804008908686,792.3615441722346,-4.466082748244513,423.23505601329975,793.7631850767153,459.12574576843747,790.9599032677539,1.766758059610177
246,1,439.75795190069823,793.8502715283165,-4.055143771239833,422.20201434890765,795.0948825830757,457.3138894524888,792.6056604735574,1.7750434169618226
247,1,438.02941176470586,796.1202422145328,-1.8847344263314139,421.2385003269587,796.6727755526495,454.82032320245304,795.5677088764162,1.8648002898354026
248,1,434.85871743486973,798.9719438877755,-2.02076897854405,419.2684189072465,799.522027353795,450.449015962493,798.421860421756,1.9251034358676211
249,1,432.3880597014925,801.8221393034826,0.1872114954528796,418.38813443535247,801.7763949869739,446.3879849676326,801.8678836199913,1.970230209511043
250,1,429.854114713217,808.5049875311721,0.9112541759910394,415.4559359111141,808.2759740322771,444.2522935153198,808.7340010300671,2.3240260164083133
251,0,,,,,,,,
252,0,,,,,,,,
253,0,,,,,,,,
254,0,,,,,,,,
255,1,448.95081967213116,826.5573770491803,-72.83676060897461,443.8751841468203,842.9914247555186,454.02645519744203,810.1233293428421,1.4619834449172744
256,0,,,,,,,,
257,0,,,,,,,,
258,0,,,,,,,,
259,0,,,,,,,,
260,0,,,,,,,,
261,0,,,,,,,,
262,0,,,,,,,,
263,0,,,,,,,,
264,0,,,,,,,,
265,0,,,,,,,,
266,0,,,,,,,,
267,0,,,,,,,,
268,1,967.7313915857605,149.2168284789644,-92.04039002829418,968.3865051401583,167.60516245001367,967.0762780313628,130.82849450791514,6.604851997963098
269,1,543.0710382513661,709.8979963570127,-32.608109163149294,525.2126641791822,721.3224646377666,560.92941232355,698.4735280762588,6.033335834086188
270,1,539.3281553398058,712.7922330097088,-24.91744330614317,519.3760079422085,722.0610956273417,559.2803027374031,703.5233703920758,9.337006637523418
271,1,967.9519230769231,147.9647435897436,-97.93539833457002,970.4369396059607,165.79238204385214,965.4669065478855,130.13710513563504,5.2923036112435575
272,0,,,,,,,,
273,0,,,,,,,,
274,0,,,,,,,,
275,0,,,,,,,,
276,0,,,,,,,,
277,1,968.1993464052288,149.0392156862745,-92.92832001221313,969.1189048153645,167.01571179453623,967.279787995093,131.06271957801277,5.719009666087363
278,1,968.6166666666667,149.0,-93.6747214373055,969.744686349864,166.5638142666768,967.4886469834694,131.4361857333232,5.701334782262973
279,1,968.6166666666667,148.99666666666667,-93.6607010107096,969.7403884050009,166.5607564368425,967.4929449283325,131.43257689649084,5.676993574712357
280,1,968.5791245791246,149.0909090909091,-93.82166068251706,969.7521841983331,166.6517727123197,967.4060649599161,131.53004546949848,5.919221940292775
281,1,968.5627118644068,149.15254237288136,-93.88079288313543,969.7538945729726,166.71218598415132,967.3715291558409,131.5928987616114,6.084895241861237
